"district";"Район"
"zavis";"Наркозависимых на 100 тысяч населения"
"zavice_first";"Наркозав впервые на 100 тысяч населения"
"overdose";"Передозировок на 100 тысяч населения"
"crime_NON";"Преступления с НОН на 100 тысяч населения"
"crime_sell";"Преступления сбыт на 100 тысяч населения"
"crime_child";"Наркопреступления несовершеннолетних на 100 тысяч населения"
"zakladki_number";"Закладок на квадратный километр"
"zakladki_density";"Плотность грамм на квадратный километр"
"gramm";"Грамм на 100 тысяч населения"
"zakladki_po_ludam";"Закладок на 100 тысяч населения"
"ind_overall";"Индекс нарконагрузки от нуля до девяти"
"ind_no_hydra";"Индекс без гидры от нуля до пяти"
"ind_hydra";"Индекс по гидре от нуля до четырех"
"zavis_ABS";"Число наркозависимых"
"zavice_first_ABS";"Число наркозависимых впервые"
"crime_NON_ABS";"Число реступлений с НОН"
"crime_sell_ABS";"Число преступлений сбыт"
"crime_child_ABS";"Число преступлений несовершеннолетних"
"overdose_ABS";"Число передозировок"
"zakladki_number_ABS";"Количество закладок"
"zakladki_weight_ABS";"Общий вес закладок"
